Local authority,Library name,Count start,Count end,Type,Book,Issues
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Adult audiobook,No,9
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Adult fiction,Yes,37
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Adult non fiction,Yes,23
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Barnet Book Club,Yes,662
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Children's fiction,Yes,29
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Children's non fiction,Yes,2
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Teenage fiction,Yes,2
Barnet,Barnet Book Club,01/04/2019,30/06/2019,Teenage non fiction,Yes,4
Barnet,Bibliographic Services,01/04/2019,30/06/2019,Adult fiction,Yes,122
Barnet,Bibliographic Services,01/04/2019,30/06/2019,Adult non fiction,Yes,78
Barnet,Bibliographic Services,01/04/2019,30/06/2019,Children's fiction,Yes,40
Barnet,Bibliographic Services,01/04/2019,30/06/2019,DVD certificate 12,No,1
Barnet,Bibliographic Services,01/04/2019,30/06/2019,DVD certificate 15,No,2
Barnet,Bibliographic Services,01/04/2019,30/06/2019,DVD certificate U,No,1
Barnet,Bibliographic Services,01/04/2019,30/06/2019,Teenage fiction,Yes,10
Barnet,Burnt Oak,01/04/2019,30/06/2019,Adult audiobook,No,40
Barnet,Burnt Oak,01/04/2019,30/06/2019,Adult fiction,Yes,1085
Barnet,Burnt Oak,01/04/2019,30/06/2019,Adult non fiction,Yes,937
Barnet,Burnt Oak,01/04/2019,30/06/2019,Children's fiction,Yes,2894
Barnet,Burnt Oak,01/04/2019,30/06/2019,Children's non fiction,Yes,386
Barnet,Burnt Oak,01/04/2019,30/06/2019,Compact disc,No,5
Barnet,Burnt Oak,01/04/2019,30/06/2019,DVD certificate 12,No,20
Barnet,Burnt Oak,01/04/2019,30/06/2019,DVD certificate 15,No,8
Barnet,Burnt Oak,01/04/2019,30/06/2019,DVD certificate 18+,No,3
Barnet,Burnt Oak,01/04/2019,30/06/2019,DVD certificate U,No,6
Barnet,Burnt Oak,01/04/2019,30/06/2019,Electronic devices,No,1
Barnet,Burnt Oak,01/04/2019,30/06/2019,Interlending book,Yes,1
Barnet,Burnt Oak,01/04/2019,30/06/2019,Language learning,Yes,7
Barnet,Burnt Oak,01/04/2019,30/06/2019,Large print adult fiction,Yes,27
Barnet,Burnt Oak,01/04/2019,30/06/2019,Large print adult non fiction,Yes,1
Barnet,Burnt Oak,01/04/2019,30/06/2019,Music score,Yes,1
Barnet,Burnt Oak,01/04/2019,30/06/2019,Teenage fiction,Yes,239
Barnet,Burnt Oak,01/04/2019,30/06/2019,Teenage non fiction,Yes,189
Barnet,Capita,01/04/2019,30/06/2019,Adult fiction,Yes,34
Barnet,Capita,01/04/2019,30/06/2019,Adult non fiction,Yes,55
Barnet,Capita,01/04/2019,30/06/2019,Children's fiction,Yes,30
Barnet,Capita,01/04/2019,30/06/2019,Children's non fiction,Yes,32
Barnet,Capita,01/04/2019,30/06/2019,Large print adult fiction,Yes,2
Barnet,Childs Hill,01/04/2019,30/06/2019,Adult audiobook,No,14
Barnet,Childs Hill,01/04/2019,30/06/2019,Adult fiction,Yes,709
Barnet,Childs Hill,01/04/2019,30/06/2019,Adult non fiction,Yes,643
Barnet,Childs Hill,01/04/2019,30/06/2019,Barnet Book Club,Yes,1
Barnet,Childs Hill,01/04/2019,30/06/2019,Children's fiction,Yes,1747
Barnet,Childs Hill,01/04/2019,30/06/2019,Children's non fiction,Yes,121
Barnet,Childs Hill,01/04/2019,30/06/2019,Children's reference,Yes,1
Barnet,Childs Hill,01/04/2019,30/06/2019,Compact disc,No,10
Barnet,Childs Hill,01/04/2019,30/06/2019,DVD certificate 12,No,3
Barnet,Childs Hill,01/04/2019,30/06/2019,DVD certificate 15,No,2
Barnet,Childs Hill,01/04/2019,30/06/2019,DVD certificate PG,No,2
Barnet,Childs Hill,01/04/2019,30/06/2019,DVD certificate U,No,12
Barnet,Childs Hill,01/04/2019,30/06/2019,Electronic devices,No,2
